program-name,current-version,experimental-version,status
xgcc-14.3.0,libgcc,libgcc,SAME
libunistring,1.4.1,1.4.1,SAME
libidn2,2.3.8,2.3.8,SAME
xvidcore,1.3.7,1.3.7,SAME
ran_toks-59515,tex,tex,SAME
libmd,1.1.0,1.1.0,SAME
m-tx-0.63d,texdoc,texdoc,SAME
nss-3.112.2,man,man,SAME
tikz-bayesnet-0.1,tex,tex,SAME
aiaa-3.6,tex,tex,SAME
jetbrains-toolbox,extracted,extracted,SAME
xz,5.8.1,5.8.1,SAME
gcc-14.3.0,libgcc,libgcc,SAME
zstd,1.5.7,1.5.7,SAME
kmod,31,31,SAME
attr,2.5.2,2.5.2,SAME
acl,2.3.2,2.3.2,SAME
gmp-with-cxx,6.3.0,6.3.0,SAME
coreutils,9.8,9.8,SAME
alsa-ucm-conf,1.2.14,1.2.14,SAME
libxcrypt,4.5.2,4.5.2,SAME
ncurses,6.5,6.5,SAME
readline,8.3p1,8.3p1,SAME
openssl,3.6.1,3.6.0,DIFFERENT (current:3.6.1,exp:3.6.0)
libffi,3.5.2,3.5.2,SAME
gdbm-1.26,lib,lib,SAME
mailcap,2.1.54,2.1.54,SAME
expat,2.7.3,2.7.3,SAME
zlib,1.3.1,1.3.1,SAME
sqlite,3.50.4,3.50.4,SAME
mpdecimal,4.0.1,4.0.1,SAME
bash,5.3p3,5.3p3,SAME
tzdata,2025c,2025b,DIFFERENT (current:2025c,exp:2025b)
bzip2,1.0.8,1.0.8,SAME
python3,3.13.11,3.12.12,DIFFERENT (current:3.13.11,exp:3.12.12)
python3.12-networkx,3.5,3.5,SAME
libcap-2.77,lib,lib,SAME
libusb,1.0.28,1.0.29,DIFFERENT (current:1.0.28,exp:1.0.29)
nettle,3.10.2,3.10.2,SAME
zlib-ng,2.2.5,2.2.5,SAME
huffman-0.1,tex,tex,SAME
firamath-0.3.4,tex,tex,SAME
hpsdiss-1.0,tex,tex,SAME
libXau,1.0.12,1.0.12,SAME
libXdmcp,1.1.5,1.1.5,SAME
libxcb,1.17.0,1.17.0,SAME
libX11,1.8.12,1.8.12,SAME
libXext,1.3.6,1.3.6,SAME
libXi,1.8.2,1.8.2,SAME
libXtst,1.2.5,1.2.5,SAME
papertex-1.2b,tex,tex,SAME
dejavu-fonts-minimal,2.37,2.37,SAME
fontconfig,2.17.1,2.17.1,SAME
libxinerama,1.1.5,1.1.5,SAME
db,4.8.30,4.8.30,SAME
emarks-1.0,tex,tex,SAME
xgcc-15.2.0,libgcc,libgcc,SAME
ngtcp2,1.17.0,1.19.0,DIFFERENT (current:1.17.0,exp:1.19.0)
libffi-3.5.2,dev,dev,SAME
pcre2,10.46,10.46,SAME
libselinux,3.8.1,3.8.1,SAME
glib,2.86.3,2.86.3,SAME
glib-2.86.3,bin,bin,SAME
json-c,0.18,0.18,SAME
nghttp2-1.67.1,lib,lib,SAME
keyutils-1.6.3,lib,lib,SAME
krb5-1.22.1,lib,lib,SAME
publicsuffix-list-0-unstable-2025-12,28,28,SAME
libpsl,0.21.5,0.21.5,SAME
libssh2,1.11.1,1.11.1,SAME
brotli-1.1.0,lib,lib,SAME
nghttp3,1.12.0,1.12.0,SAME
curl,8.18.0,8.18.0,SAME
elfutils,0.194,0.194,SAME
gettext,0.25.1,0.25.1,SAME
zlib-1.3.1,dev,dev,SAME
python3.13-packaging,25.0,25.0,SAME
libjpeg-turbo,3.0.4,3.0.4,SAME
lerc,4.0.0,4.0.0,SAME
libdeflate,1.23,1.23,SAME
giflib,5.2.2,5.2.2,SAME
libpng-apng,1.6.46,1.6.46,SAME
libwebp,1.5.0,1.5.0,SAME
libtiff,4.7.0,4.7.0,SAME
lcms2,2.17,2.17,SAME
openjpeg,2.5.2,2.5.2,SAME
jpnedumathsymbols-1.3,tex,tex,SAME
musicography-68220,tex,tex,SAME
bibata-cursors,2.0.7,2.0.7,SAME
edmaths-0.99,tex,tex,SAME
tikzorbital-36439,tex,tex,SAME
libiptcdata,1.0.5,1.0.5,SAME
luabibentry-0.1a,tex,tex,SAME
gamebooklib-1.4,tex,tex,SAME
libpng-1.2.59,man,man,SAME
oup-authoring-template-1.1,tex,tex,SAME
gcc-15.2.0,libgcc,libgcc,SAME
game-music-emu,0.6.4,0.6.4,SAME
xgcc-14.2.1.20250322,libgcc,libgcc,SAME
krb5-1.21.3,lib,lib,SAME
libpq,17.5,17.5,SAME
cweb-73451,texdoc,texdoc,SAME
jellyfin-desktop-2.0.0-fish,completions,completions,SAME
frame-1.0,tex,tex,SAME
rcs-15878,tex,tex,SAME
libharu,2.4.5,2.4.5,SAME
qttranslations,6.10.1,6.10.1,SAME
cracklib,2.10.3,2.10.3,SAME
libcap-ng,0.8.5,0.8.5,SAME
audit-4.1.2-unstable-2025-09-06,lib,lib,SAME
libpwquality-1.4.5,lib,lib,SAME
libtasn1,4.21.0,4.21.0,SAME
p11-kit,0.25.10,0.25.10,SAME
kbd,2.9.0,2.9.0,SAME
libbpf,1.6.2,1.6.2,SAME
libseccomp-2.6.0,lib,lib,SAME
qrencode,4.1.1,4.1.1,SAME
kmod-31,lib,lib,SAME
libxml2,2.15.1,2.15.1,SAME
libarchive-3.8.4,lib,lib,SAME
gnutar,1.35,1.35,SAME
libgpg-error,1.55,1.55,SAME
libgcrypt-1.11.2,lib,lib,SAME
libcbor,0.13.0,0.13.0,SAME
pcsclite-2.3.0,lib,lib,SAME
libfido2,1.16.0,1.16.0,SAME
dns-root-data-2025-04,14,14,SAME
libevent,2.1.12,2.1.12,SAME
unbound-1.24.2,lib,lib,SAME
gnutls,3.8.11,3.8.11,SAME
libmicrohttpd,1.0.2,1.0.2,SAME
lvm2-2.03.35,lib,lib,SAME
cryptsetup,2.8.3,2.8.3,SAME
npth,1.8,1.8,SAME
libassuan,3.0.2,3.0.2,SAME
gnupg,2.4.8,2.4.8,SAME
kexec-tools,2.0.32,2.0.32,SAME
libtpms,0.10.1,0.10.1,SAME
tpm2-tss,4.1.3,4.1.3,SAME
libapparmor,4.1.2,4.1.2,SAME
lz4-1.10.0,lib,lib,SAME
duktape,2.7.0,2.7.0,SAME
gsettings-desktop-schemas,49.1,49.1,SAME
libproxy,0.5.11,0.5.11,SAME
pkg-config,0.29.2,0.29.2,SAME
strip.sh,unknown,unknown,SAME
pkg-config-wrapper,0.29.2,0.29.2,SAME
libxcb-render-util,0.3.10,0.3.10,SAME
graphite2,1.3.14,1.3.14,SAME
freetype,2.13.3,2.13.3,SAME
harfbuzz,12.1.0,12.1.0,SAME
libxcb-keysyms,0.4.1,0.4.1,SAME
hwdata,0.401,0.401,SAME
libpciaccess,0.18.1,0.18.1,SAME
libdrm,2.4.129,2.4.129,SAME
libdrm-2.4.129,bin,bin,SAME
mesa-libgbm,25.1.0,25.1.0,SAME
vulkan-loader,1.4.328.0,1.4.328.0,SAME
dconf-0.49.0,lib,lib,SAME
dbus-1.14.10,lib,lib,SAME
at-spi2-core,2.58.2,2.58.2,SAME
mariadb-connector-c,3.3.5,3.3.5,SAME
wayland,1.24.0,1.24.0,SAME
libglvnd,1.7.0,1.7.0,SAME
md4c-0.5.2,lib,lib,SAME
libice,1.1.2,1.1.2,SAME
libsm,1.2.6,1.2.6,SAME
lzo,2.10,2.10,SAME
pixman,0.46.4,0.46.4,SAME
libxrender,0.9.12,0.9.12,SAME
fontconfig-2.17.1,lib,lib,SAME
cairo,1.18.4,1.18.4,SAME
mtdev,1.1.7,1.1.7,SAME
libxcb-wm,0.4.2,0.4.2,SAME
libb2,0.98.1,0.98.1,SAME
gdk-pixbuf,2.44.4,2.44.4,SAME
double-conversion,3.3.1,3.3.1,SAME
libxcb-util,0.4.1,0.4.1,SAME
libdaemon,0.14,0.14,SAME
avahi,0.8,0.8,SAME
cups-2.4.16,lib,lib,SAME
libxcb-image,0.4.1,0.4.1,SAME
libxft,2.3.9,2.3.9,SAME
libdatrie-2019-12-20,lib,lib,SAME
libthai,0.1.29,0.1.29,SAME
fribidi,1.0.16,1.0.16,SAME
pango,1.57.0,1.57.0,SAME
icu4c,76.1,76.1,SAME
libxcb-cursor,0.1.6,0.1.6,SAME
unixODBC,2.3.12,2.3.12,SAME
iso-codes,4.19.0,4.19.0,SAME
libxfixes,6.0.2,6.0.2,SAME
libxcursor,1.2.3,1.2.3,SAME
libxrandr,1.5.4,1.5.4,SAME
libxdamage,1.1.6,1.1.6,SAME
json-glib,1.10.8,1.10.8,SAME
gobject-introspection,1.86.0,1.86.0,SAME
libsoup,3.6.5,3.6.5,SAME
tinysparql,3.10.1,3.10.1,SAME
libxcomposite,0.4.6,0.4.6,SAME
libepoxy,1.5.10,1.5.10,SAME
xkeyboard-config,2.46,2.46,SAME
libxkbcommon,1.11.0,1.11.0,SAME
gtk+3,3.24.51,3.24.51,SAME
expat-2.7.3,dev,dev,SAME
dbus,1.14.10,1.14.10,SAME
qtbase,6.10.1,6.10.1,SAME
qtsvg,6.10.1,6.10.1,SAME
qtdeclarative,6.10.1,6.10.1,SAME
qtwebchannel,6.10.1,6.10.1,SAME
xcolor-3.02,tex,tex,SAME
gfortran-14.3.0,libgcc,libgcc,SAME
openblas,0.3.30,0.3.30,SAME
blas,3,3,SAME
blas-3,dev,dev,SAME
lapack,3,3,SAME
lapack-3,dev,dev,SAME
python3.12-numpy,2.3.4,2.3.4,SAME
dav1d,1.5.1,1.5.2,DIFFERENT (current:1.5.1,exp:1.5.2)
libvmaf,3.0.0,3.0.0,SAME
libaom,3.11.0,3.12.1,DIFFERENT (current:3.11.0,exp:3.12.1)
libyuv,1908,1908,SAME
libavif,1.3.0,1.3.0,SAME
libraqm,0.10.3,0.10.3,SAME
libimagequant,4.4.1,4.4.0,DIFFERENT (current:4.4.1,exp:4.4.0)
python3.12-pillow,12.1.0,12.0.0,DIFFERENT (current:12.1.0,exp:12.0.0)
p7zip-17.06,lib,lib,SAME
p7zip,17.06,17.06,SAME
libcap-2.75,lib,lib,SAME
gzip,1.14,1.14,SAME
bzip2-1.0.8,bin,bin,SAME
xz-5.8.1,bin,bin,SAME
gnugrep,3.11,3.11,SAME
zstd-1.5.7,bin,bin,SAME
bash-interactive,5.2p37,5.2p37,SAME
alsa-topology-conf,1.2.5.1,1.2.5.1,SAME
alsa,1.2.13,1.2.13,SAME
libfreeaptx,0.2.2,0.2.2,SAME
ldacBT,2.0.2.3,2.0.2.3,SAME
fdk-aac,2.0.3,2.0.3,SAME
libogg,1.3.5,1.3.5,SAME
flac,1.5.0,1.5.0,SAME
lame-3.100,lib,lib,SAME
libopus,1.5.2,1.5.2,SAME
libmpg123,1.32.10,1.32.10,SAME
libvorbis,1.3.7,1.3.7,SAME
libsndfile,1.2.2,1.2.2,SAME
fftw-single,3.3.10,3.3.10,SAME
libmysofa,1.3.3,1.3.3,SAME
libtool-2.5.4,lib,lib,SAME
speexdsp,1.2.1,1.2.1,SAME
dconf-0.40.0,lib,lib,SAME
soxr,0.1.3,0.1.3,SAME
libpulseaudio,17.0,17.0,SAME
libconfig,1.8,1.8,SAME
gnum4,1.4.19,1.4.19,SAME
libsigc++,2.12.1,2.12.1,SAME
glibmm,2.66.8,2.66.8,SAME
libxml++,3.0.1,3.0.1,SAME
libraw1394,2.1.2,2.1.2,SAME
libiec61883,1.2.0,1.2.0,SAME
libavc1394,0.5.4,0.5.4,SAME
ffado,2.4.9,2.4.9,SAME
webrtc-audio-processing,1.3,1.3,SAME
libical,3.0.20,3.0.20,SAME
ell,0.76,0.76,SAME
bluez,5.80,5.80,SAME
gdbm-1.25,lib,lib,SAME
publicsuffix-list-0-unstable-2025-03,12,12,SAME
nghttp2-1.65.0,lib,lib,SAME
libunwind,1.8.1,1.8.1,SAME
gstreamer,1.26.3,1.26.3,SAME
sbc,2.0,2.0,SAME
vid.stab-unstable-2022-05,30,30,SAME
zvbi,0.2.44,0.2.44,SAME
v4l-utils,1.24.1,1.24.1,SAME
unbound-1.24.1,lib,lib,SAME
fontconfig-2.16.0,lib,lib,SAME
libass,0.17.3,0.17.3,SAME
libbluray,1.3.4,1.3.4,SAME
x264-0-unstable-2025-01-03,lib,lib,SAME
numactl,2.0.18,2.0.18,SAME
x265,4.1,4.1,SAME
libvpx,1.15.2,1.15.2,SAME
speex,1.2.1,1.2.1,SAME
libssh,0.11.3,0.11.3,SAME
libva-minimal,2.22.0,2.22.0,SAME
srt,1.5.4,1.5.4,SAME
libtheora,1.2.0,1.2.0,SAME
cjson,1.7.18,1.7.18,SAME
mbedtls,3.6.5,3.6.5,SAME
librist,0.2.11,0.2.11,SAME
ffmpeg-headless-7.1.1,data,data,SAME
ocl-icd,2.3.2,2.3.2,SAME
svt-av1,2.3.0,2.3.0,SAME
libsamplerate,0.2.2,0.2.2,SAME
celt,0.11.3,0.11.3,SAME
libjack2,1.9.22,1.9.22,SAME
mpg123,1.32.10,1.32.10,SAME
libopenmpt,0.7.16,0.7.16,SAME
zimg,3.0.5,3.0.5,SAME
libmad,0.15.1b,0.15.1b,SAME
libao,1.2.2,1.2.2,SAME
wavpack,5.8.1,5.8.1,SAME
file,5.45,5.45,SAME
opusfile,0.12,0.12,SAME
sox-unstable-2021-05-09,lib,lib,SAME
libuv,1.51.0,1.51.0,SAME
openfec,1.4.2.11,1.4.2.11,SAME
roc-toolkit,0.4.0,0.4.0,SAME
libebur128,1.2.6,1.2.6,SAME
liblc3,1.1.3,1.1.3,SAME
serd,0.32.4,0.32.4,SAME
zix,0.4.2,0.4.2,SAME
sord,0.16.18,0.16.18,SAME
sratom,0.6.18,0.6.18,SAME
lilv,0.24.24,0.24.24,SAME
graphene,1.10.8,1.10.8,SAME
tremor-unstable-2018-03,16,16,SAME
libXv,1.0.13,1.0.13,SAME
cdparanoia-III,10.2,10.2,SAME
orc,0.4.41,0.4.41,SAME
gst-plugins-base,1.26.3,1.26.3,SAME
lvm2-2.03.31,lib,lib,SAME
libarchive-3.8.2,lib,lib,SAME
libmnl,1.0.5,1.0.5,SAME
libnftnl,1.2.9,1.2.9,SAME
libnfnetlink,1.0.2,1.0.2,SAME
libnetfilter_conntrack,1.1.0,1.1.0,SAME
libnl,3.11.0,3.11.0,SAME
libpcap,1.10.5,1.10.5,SAME
iptables,1.8.11,1.8.11,SAME
audit-4.1.0,lib,lib,SAME
libgcrypt-1.10.3,lib,lib,SAME
libcanberra,0.30,0.30,SAME
lttng-ust,2.13.8,2.13.8,SAME
libyaml,0.2.5,0.2.5,SAME
libcamera,0.5.0,0.5.0,SAME
pipewire,1.4.7,1.4.7,SAME
calcfrac-0.2,tex,tex,SAME
source,unknown,patched,DIFFERENT (current:unknown,exp:patched)
lxfonts-3.0,tex,tex,SAME
sectionbox-1.01,tex,tex,SAME
atendofenv-0.2,tex,tex,SAME
plasmawindowed-network-fish,completions,completions,SAME
subfloat-2.14,tex,tex,SAME
jurarsp-0.52,tex,tex,SAME
perl5.40.0-Sub-Exporter-Progressive,0.001013,0.001013,SAME
perl5.40.0-Devel-GlobalDestruction,0.14,0.14,SAME
faktor-0.1b,tex,tex,SAME
hmtrump-1.2a,tex,tex,SAME
starship,1.24.2,1.24.2,SAME
find-xml-catalogs,hook,hook,SAME
libxslt,1.1.45,1.1.45,SAME
libxslt-1.1.45,bin,bin,SAME
libxml2-2.15.1,bin,bin,SAME
readline-8.3p1,man,man,SAME
sdrt-1.0,tex,tex,SAME
psgo-0.17,tex,tex,SAME
libde265,1.0.16,1.0.16,SAME
librsvg,2.61.3,2.61.3,SAME
imath,3.2.1,3.2.1,SAME
freepats,20060219,20060219,SAME
wildmidi.cfg,unknown,unknown,SAME
wildmidi,0.4.6,0.4.6,SAME
zxing-cpp,2.3.0,2.3.0,SAME
fftw-double,3.3.10,3.3.10,SAME
spandsp,0.0.6,0.0.6,SAME
flite-2.2,lib,lib,SAME
vo-aacenc,0.1.3,0.1.3,SAME
libdvdcss,1.4.3,1.4.3,SAME
libdvdread,6.1.3,6.1.3,SAME
libdvdnav,6.1.1,6.1.1,SAME
gsm,1.0.23,1.0.23,SAME
libbs2b,3.1.0,3.1.0,SAME
libva,2.22.0,2.22.0,SAME
popt,1.19,1.19,SAME
libdv,1.0.0,1.0.0,SAME
mjpegtools-2.2.1,lib,lib,SAME
rtmpdump,2.6,2.6,SAME
neon,0.35.0,0.35.0,SAME
libajantv2,17.5.0,17.5.0,SAME
gtest,1.17.0,1.17.0,SAME
abseil-cpp,20250814.1,20250814.1,SAME
openapv,0.2.0.4,0.2.0.4,SAME
vid.stab-1.1.1-unstable-2025-08,21,21,SAME
ffmpeg-headless-8.0,data,data,SAME
openal-soft,1.24.3,1.24.3,SAME
gssdp,1.6.4,1.6.4,SAME
gupnp,1.6.9,1.6.9,SAME
gupnp-igd,1.6.0,1.6.0,SAME
libnice,0.1.22,0.1.22,SAME
raptor2,2.0.16,2.0.16,SAME
lrdf,0.6.1,0.6.1,SAME
libdc1394,2.2.7,2.2.7,SAME
faad2,2.11.2,2.11.2,SAME
